recclass,year,year_period_start,year_period_mid,year_period,achondrite_type
Eucrite-pmict,1988,1985,1992.5,1985,Eucrite
Ureilite,1988,1985,1992.5,1985,Ureilite
Eucrite-pmict,1988,1985,1992.5,1985,Eucrite
Diogenite,1988,1985,1992.5,1985,Diogenite
Eucrite-unbr,1988,1985,1992.5,1985,Eucrite
Eucrite-unbr,1988,1985,1992.5,1985,Eucrite
Diogenite,1988,1985,1992.5,1985,Diogenite
Ureilite,1988,1985,1992.5,1985,Ureilite
Ureilite,1988,1985,1992.5,1985,Ureilite
Lodranite,1988,1985,1992.5,1985,Lodranite
Ureilite,1988,1985,1992.5,1985,Ureilite
Martian (shergottite),1988,1985,1992.5,1985,Martian
Diogenite,1988,1985,1992.5,1985,Diogenite
Brachinite,1988,1985,1992.5,1985,Brachinite
Ureilite,1988,1985,1992.5,1985,Ureilite
Ureilite-an,1988,1985,1992.5,1985,Ureilite
Ureilite,1997,1985,1992.5,1985,Ureilite
Martian (shergottite),1999,1985,1992.5,1985,Martian
Diogenite-pm,2009,2000,2007.5,2000,Diogenite
Lunar,2010,2000,2007.5,2000,Lunar
Eucrite-unbr,2002,2000,2007.5,2000,Eucrite
Eucrite-br,2002,2000,2007.5,2000,Eucrite
Howardite,2002,2000,2007.5,2000,Howardite
Howardite,2002,2000,2007.5,2000,Howardite
Eucrite-unbr,2004,2000,2007.5,2000,Eucrite
Acapulcoite/lodranite,2004,2000,2007.5,2000,Acapulcoite
Howardite,2004,2000,2007.5,2000,Howardite
Lunar (anorth),1988,1985,1992.5,1985,Lunar
Lunar (anorth),1988,1985,1992.5,1985,Lunar
Lodranite,1988,1985,1992.5,1985,Lodranite
Howardite,1971,1970,1977.5,1970,Howardite
Diogenite,2000,2000,2007.5,2000,Diogenite
Diogenite,2000,2000,2007.5,2000,Diogenite
Howardite,2000,2000,2007.5,2000,Howardite
Diogenite,2000,2000,2007.5,2000,Diogenite
Diogenite,2000,2000,2007.5,2000,Diogenite
Howardite,2000,2000,2007.5,2000,Howardite
Diogenite,2000,2000,2007.5,2000,Diogenite
Howardite,2000,2000,2007.5,2000,Howardite
Diogenite,2000,2000,2007.5,2000,Diogenite
Eucrite-unbr,2001,2000,2007.5,2000,Eucrite
Howardite,2001,2000,2007.5,2000,Howardite
Ureilite,2001,2000,2007.5,2000,Ureilite
Diogenite,2001,2000,2007.5,2000,Diogenite
Ureilite-an,2001,2000,2007.5,2000,Ureilite
Eucrite-unbr,2001,2000,2007.5,2000,Eucrite
Howardite,2001,2000,2007.5,2000,Howardite
Acapulcoite,2001,2000,2007.5,2000,Acapulcoite
Acapulcoite,2001,2000,2007.5,2000,Acapulcoite
Lunar (anorth),2001,2000,2007.5,2000,Lunar
Acapulcoite,2001,2000,2007.5,2000,Acapulcoite
Acapulcoite,2001,2000,2007.5,2000,Acapulcoite
Acapulcoite,2001,2000,2007.5,2000,Acapulcoite
Howardite,1996,1985,1992.5,1985,Howardite
Ureilite,1978,1970,1977.5,1970,Ureilite
Martian (nakhlite),2003,2000,2007.5,2000,Martian
Diogenite,2003,2000,2007.5,2000,Diogenite
Lunar (basalt),2005,2000,2007.5,2000,Lunar
Eucrite-br,2005,2000,2007.5,2000,Eucrite
Howardite,2005,2000,2007.5,2000,Howardite
Howardite,2005,2000,2007.5,2000,Howardite
Howardite,2005,2000,2007.5,2000,Howardite
Diogenite-olivine,2007,2000,2007.5,2000,Diogenite
Diogenite,2007,2000,2007.5,2000,Diogenite
Eucrite-br,2007,2000,2007.5,2000,Eucrite
Lunar (feldsp. breccia),2007,2000,2007.5,2000,Lunar
Howardite,2007,2000,2007.5,2000,Howardite
Aubrite,2007,2000,2007.5,2000,Aubrite
Howardite,2007,2000,2007.5,2000,Howardite
Eucrite-br,2007,2000,2007.5,2000,Eucrite
Acapulcoite/lodranite,2007,2000,2007.5,2000,Acapulcoite
Acapulcoite/Lodranite,2007,2000,2007.5,2000,Acapulcoite
Ureilite,2007,2000,2007.5,2000,Ureilite
Acapulcoite,2007,2000,2007.5,2000,Acapulcoite
Diogenite,2007,2000,2007.5,2000,Diogenite
Eucrite,2007,2000,2007.5,2000,Eucrite
Eucrite-br,2007,2000,2007.5,2000,Eucrite
Howardite,2007,2000,2007.5,2000,Howardite
Eucrite-br,2007,2000,2007.5,2000,Eucrite
Howardite,2007,2000,2007.5,2000,Howardite
Howardite,2007,2000,2007.5,2000,Howardite
Howardite,2007,2000,2007.5,2000,Howardite
Martian (nakhlite),2009,2000,2007.5,2000,Martian
Ureilite,2009,2000,2007.5,2000,Ureilite
Martian (nakhlite),2009,2000,2007.5,2000,Martian
Lunar (anorth),2009,2000,2007.5,2000,Lunar
Lunar (anorth),2009,2000,2007.5,2000,Lunar
Lunar (anorth),2009,2000,2007.5,2000,Lunar
Lunar (anorth),2009,2000,2007.5,2000,Lunar
Ureilite,2009,2000,2007.5,2000,Ureilite
Diogenite,2009,2000,2007.5,2000,Diogenite
Diogenite,2009,2000,2007.5,2000,Diogenite
Diogenite,2009,2000,2007.5,2000,Diogenite
Diogenite,2009,2000,2007.5,2000,Diogenite
Martian (nakhlite),2009,2000,2007.5,2000,Martian
Howardite,2009,2000,2007.5,2000,Howardite
Diogenite,2009,2000,2007.5,2000,Diogenite
Diogenite,2009,2000,2007.5,2000,Diogenite
Diogenite,2009,2000,2007.5,2000,Diogenite
Diogenite,2009,2000,2007.5,2000,Diogenite
Howardite,2009,2000,2007.5,2000,Howardite
Eucrite,2009,2000,2007.5,2000,Eucrite
Ureilite,2009,2000,2007.5,2000,Ureilite
Diogenite,2009,2000,2007.5,2000,Diogenite
Lodranite,2009,2000,2007.5,2000,Lodranite
Eucrite-br,2011,2000,2007.5,2000,Eucrite
Diogenite,2011,2000,2007.5,2000,Diogenite
Howardite,2011,2000,2007.5,2000,Howardite
Diogenite,2011,2000,2007.5,2000,Diogenite
Diogenite,2011,2000,2007.5,2000,Diogenite
Diogenite,2011,2000,2007.5,2000,Diogenite
Diogenite,2011,2000,2007.5,2000,Diogenite
Diogenite,2011,2000,2007.5,2000,Diogenite
Diogenite,2011,2000,2007.5,2000,Diogenite
Diogenite,2011,2000,2007.5,2000,Diogenite
Eucrite-br,2011,2000,2007.5,2000,Eucrite
Eucrite-br,2011,2000,2007.5,2000,Eucrite
Howardite,2011,2000,2007.5,2000,Howardite
Howardite,2011,2000,2007.5,2000,Howardite
Eucrite-cm,1940,1940,1947.5,1940,Eucrite
Howardite,1982,1970,1977.5,1970,Howardite
Acapulcoite,1985,1985,1992.5,1985,Acapulcoite
Howardite,2001,2000,2007.5,2000,Howardite
Aubrite-an,1941,1940,1947.5,1940,Aubrite
Eucrite-br,1988,1985,1992.5,1985,Eucrite
Howardite,2004,2000,2007.5,2000,Howardite
Howardite,2004,2000,2007.5,2000,Howardite
Howardite,1950,1940,1947.5,1940,Howardite
Howardite,1991,1985,1992.5,1985,Howardite
Howardite,1990,1985,1992.5,1985,Howardite
Howardite,1989,1985,1992.5,1985,Howardite
Ureilite-pmict,1975,1970,1977.5,1970,Ureilite
Ureilite-pmict,1961,1955,1962.5,1955,Ureilite
Lunar (anorth),2002,2000,2007.5,2000,Lunar
Lunar (bas. breccia),2000,2000,2007.5,2000,Lunar
Lunar (basalt),1999,1985,1992.5,1985,Lunar
Eucrite,2000,2000,2007.5,2000,Eucrite
Eucrite-pmict,2000,2000,2007.5,2000,Eucrite
Eucrite,2001,2000,2007.5,2000,Eucrite
Ureilite,2001,2000,2007.5,2000,Ureilite
Acapulcoite,2001,2000,2007.5,2000,Acapulcoite
Acapulcoite,2001,2000,2007.5,2000,Acapulcoite
Martian (shergottite),2001,2000,2007.5,2000,Martian
Eucrite-pmict,2001,2000,2007.5,2000,Eucrite
Martian (shergottite),2001,2000,2007.5,2000,Martian
Howardite,2000,2000,2007.5,2000,Howardite
Howardite,2001,2000,2007.5,2000,Howardite
Howardite,2000,2000,2007.5,2000,Howardite
Martian (shergottite),2002,2000,2007.5,2000,Martian
Eucrite,2001,2000,2007.5,2000,Eucrite
Aubrite-an,2000,2000,2007.5,2000,Aubrite
Eucrite-cm,2001,2000,2007.5,2000,Eucrite
Ureilite,2001,2000,2007.5,2000,Ureilite
Ureilite,2002,2000,2007.5,2000,Ureilite
Howardite,2001,2000,2007.5,2000,Howardite
Angrite,2001,2000,2007.5,2000,Angrite
Eucrite-pmict,2001,2000,2007.5,2000,Eucrite
Winonaite,2002,2000,2007.5,2000,Winonaite
Diogenite,2002,2000,2007.5,2000,Diogenite
Martian (shergottite),2002,2000,2007.5,2000,Martian
Diogenite,2002,2000,2007.5,2000,Diogenite
Ureilite,2002,2000,2007.5,2000,Ureilite
Winonaite,2000,2000,2007.5,2000,Winonaite
Ureilite,2001,2000,2007.5,2000,Ureilite
Eucrite,2001,2000,2007.5,2000,Eucrite
Ureilite,2001,2000,2007.5,2000,Ureilite
Eucrite-mmict,2001,2000,2007.5,2000,Eucrite
Ureilite,2002,2000,2007.5,2000,Ureilite
Acapulcoite,1998,1985,1992.5,1985,Acapulcoite
Eucrite-pmict,2001,2000,2007.5,2000,Eucrite
Eucrite-cm,2002,2000,2007.5,2000,Eucrite
Eucrite,2002,2000,2007.5,2000,Eucrite
Diogenite-pm,2002,2000,2007.5,2000,Diogenite
Eucrite-pmict,2002,2000,2007.5,2000,Eucrite
Eucrite-pmict,2002,2000,2007.5,2000,Eucrite
Howardite,2002,2000,2007.5,2000,Howardite
Eucrite-mmict,2002,2000,2007.5,2000,Eucrite
Howardite,2002,2000,2007.5,2000,Howardite
Eucrite-pmict,2002,2000,2007.5,2000,Eucrite
Diogenite,2002,2000,2007.5,2000,Diogenite
Martian (shergottite),2003,2000,2007.5,2000,Martian
Angrite,2003,2000,2007.5,2000,Angrite
Eucrite,2002,2000,2007.5,2000,Eucrite
Howardite,2001,2000,2007.5,2000,Howardite
Eucrite-pmict,2001,2000,2007.5,2000,Eucrite
Eucrite-mmict,2001,2000,2007.5,2000,Eucrite
Eucrite-mmict,2001,2000,2007.5,2000,Eucrite
Eucrite-mmict,2001,2000,2007.5,2000,Eucrite
Eucrite-pmict,2002,2000,2007.5,2000,Eucrite
Howardite,2001,2000,2007.5,2000,Howardite
Eucrite-mmict,2001,2000,2007.5,2000,Eucrite
Martian (shergottite),2002,2000,2007.5,2000,Martian
Eucrite-pmict,2002,2000,2007.5,2000,Eucrite
Ureilite,2002,2000,2007.5,2000,Ureilite
Ureilite,2000,2000,2007.5,2000,Ureilite
Eucrite-mmict,1999,1985,1992.5,1985,Eucrite
Eucrite-pmict,2002,2000,2007.5,2000,Eucrite
Howardite,2003,2000,2007.5,2000,Howardite
Diogenite,2003,2000,2007.5,2000,Diogenite
Eucrite-pmict,2003,2000,2007.5,2000,Eucrite
Eucrite-cm,2002,2000,2007.5,2000,Eucrite
Ureilite,2002,2000,2007.5,2000,Ureilite
Eucrite,2002,2000,2007.5,2000,Eucrite
Eucrite,2002,2000,2007.5,2000,Eucrite
Ureilite,2003,2000,2007.5,2000,Ureilite
Diogenite-an,2003,2000,2007.5,2000,Diogenite
Diogenite,2002,2000,2007.5,2000,Diogenite
Eucrite,2002,2000,2007.5,2000,Eucrite
Eucrite-cm,2002,2000,2007.5,2000,Eucrite
Eucrite-mmict,2002,2000,2007.5,2000,Eucrite
Ureilite,2002,2000,2007.5,2000,Ureilite
Howardite,2002,2000,2007.5,2000,Howardite
Eucrite,2003,2000,2007.5,2000,Eucrite
Eucrite,2003,2000,2007.5,2000,Eucrite
Eucrite,2002,2000,2007.5,2000,Eucrite
Ureilite-pmict,2003,2000,2007.5,2000,Ureilite
Howardite,2003,2000,2007.5,2000,Howardite
Howardite,2003,2000,2007.5,2000,Howardite
Howardite,2002,2000,2007.5,2000,Howardite
Howardite,2002,2000,2007.5,2000,Howardite
Martian (shergottite),2001,2000,2007.5,2000,Martian
Eucrite-pmict,2003,2000,2007.5,2000,Eucrite
Eucrite-mmict,2003,2000,2007.5,2000,Eucrite
Eucrite-pmict,2002,2000,2007.5,2000,Eucrite
Eucrite-mmict,2002,2000,2007.5,2000,Eucrite
Eucrite-pmict,2002,2000,2007.5,2000,Eucrite
Diogenite,2002,2000,2007.5,2000,Diogenite
Diogenite,2002,2000,2007.5,2000,Diogenite
Martian (shergottite),2003,2000,2007.5,2000,Martian
Diogenite,2003,2000,2007.5,2000,Diogenite
Diogenite-pm,2003,2000,2007.5,2000,Diogenite
Howardite,2003,2000,2007.5,2000,Howardite
Eucrite,2003,2000,2007.5,2000,Eucrite
Eucrite,2003,2000,2007.5,2000,Eucrite
Eucrite-mmict,2003,2000,2007.5,2000,Eucrite
Eucrite-cm,2003,2000,2007.5,2000,Eucrite
Eucrite-mmict,2003,2000,2007.5,2000,Eucrite
Eucrite-mmict,2003,2000,2007.5,2000,Eucrite
Eucrite-mmict,2002,2000,2007.5,2000,Eucrite
Diogenite,2003,2000,2007.5,2000,Diogenite
Ureilite,2003,2000,2007.5,2000,Ureilite
Ureilite,2003,2000,2007.5,2000,Ureilite
Ureilite,2002,2000,2007.5,2000,Ureilite
Eucrite,2003,2000,2007.5,2000,Eucrite
Eucrite,2003,2000,2007.5,2000,Eucrite
Diogenite,2003,2000,2007.5,2000,Diogenite
Eucrite,2003,2000,2007.5,2000,Eucrite
Eucrite,2003,2000,2007.5,2000,Eucrite
Eucrite,2004,2000,2007.5,2000,Eucrite
Eucrite,2003,2000,2007.5,2000,Eucrite
Howardite,2003,2000,2007.5,2000,Howardite
Eucrite,2003,2000,2007.5,2000,Eucrite
Eucrite,2003,2000,2007.5,2000,Eucrite
Lunar,2004,2000,2007.5,2000,Lunar
Eucrite,2005,2000,2007.5,2000,Eucrite
Eucrite-pmict,2004,2000,2007.5,2000,Eucrite
Ureilite,2001,2000,2007.5,2000,Ureilite
Ureilite,2006,2000,2007.5,2000,Ureilite
Diogenite,2006,2000,2007.5,2000,Diogenite
Eucrite,2003,2000,2007.5,2000,Eucrite
Ureilite,2005,2000,2007.5,2000,Ureilite
Ureilite,2004,2000,2007.5,2000,Ureilite
Ureilite,2003,2000,2007.5,2000,Ureilite
Ureilite,2000,2000,2007.5,2000,Ureilite
Lodranite,2000,2000,2007.5,2000,Lodranite
Ureilite,1999,1985,1992.5,1985,Ureilite
Eucrite-pmict,2003,2000,2007.5,2000,Eucrite
Eucrite-pmict,2003,2000,2007.5,2000,Eucrite
Howardite,2001,2000,2007.5,2000,Howardite
Eucrite,2002,2000,2007.5,2000,Eucrite
Ureilite,2003,2000,2007.5,2000,Ureilite
Diogenite,2003,2000,2007.5,2000,Diogenite
Eucrite,2002,2000,2007.5,2000,Eucrite
Eucrite,2004,2000,2007.5,2000,Eucrite
Eucrite,2004,2000,2007.5,2000,Eucrite
Ureilite,2004,2000,2007.5,2000,Ureilite
Eucrite,2004,2000,2007.5,2000,Eucrite
Eucrite,2004,2000,2007.5,2000,Eucrite
Eucrite,2004,2000,2007.5,2000,Eucrite
Eucrite-pmict,2004,2000,2007.5,2000,Eucrite
Martian (shergottite),2004,2000,2007.5,2000,Martian
Ureilite,2004,2000,2007.5,2000,Ureilite
Ureilite,2004,2000,2007.5,2000,Ureilite
Howardite,2004,2000,2007.5,2000,Howardite
Diogenite,2004,2000,2007.5,2000,Diogenite
Eucrite,2004,2000,2007.5,2000,Eucrite
Howardite,2004,2000,2007.5,2000,Howardite
Eucrite,2003,2000,2007.5,2000,Eucrite
Eucrite,2004,2000,2007.5,2000,Eucrite
Eucrite,2004,2000,2007.5,2000,Eucrite
Eucrite,2004,2000,2007.5,2000,Eucrite
Diogenite,2004,2000,2007.5,2000,Diogenite
Eucrite,2004,2000,2007.5,2000,Eucrite
Ureilite,2004,2000,2007.5,2000,Ureilite
Diogenite,2003,2000,2007.5,2000,Diogenite
Eucrite,2003,2000,2007.5,2000,Eucrite
Eucrite,2003,2000,2007.5,2000,Eucrite
Ureilite,2004,2000,2007.5,2000,Ureilite
Ureilite,2004,2000,2007.5,2000,Ureilite
Martian (shergottite),2004,2000,2007.5,2000,Martian
Acapulcoite,2004,2000,2007.5,2000,Acapulcoite
Diogenite,2004,2000,2007.5,2000,Diogenite
Ureilite,2004,2000,2007.5,2000,Ureilite
Howardite,2004,2000,2007.5,2000,Howardite
Howardite,2004,2000,2007.5,2000,Howardite
Martian,2004,2000,2007.5,2000,Martian
Ureilite,2003,2000,2007.5,2000,Ureilite
Acapulcoite,2003,2000,2007.5,2000,Acapulcoite
Eucrite,2004,2000,2007.5,2000,Eucrite
Howardite,2004,2000,2007.5,2000,Howardite
Acapulcoite,2005,2000,2007.5,2000,Acapulcoite
Lunar,2004,2000,2007.5,2000,Lunar
Ureilite,2005,2000,2007.5,2000,Ureilite
Ureilite,2005,2000,2007.5,2000,Ureilite
Acapulcoite,2004,2000,2007.5,2000,Acapulcoite
Eucrite,2004,2000,2007.5,2000,Eucrite
Lunar (bas/gab brec),2005,2000,2007.5,2000,Lunar
Aubrite,2004,2000,2007.5,2000,Aubrite
Martian (chassignite),2000,2000,2007.5,2000,Martian
Howardite,2002,2000,2007.5,2000,Howardite
Howardite,2002,2000,2007.5,2000,Howardite
Eucrite,2005,2000,2007.5,2000,Eucrite
Howardite,2005,2000,2007.5,2000,Howardite
Diogenite,2005,2000,2007.5,2000,Diogenite
Eucrite,2004,2000,2007.5,2000,Eucrite
Ureilite,2004,2000,2007.5,2000,Ureilite
Eucrite,2005,2000,2007.5,2000,Eucrite
Eucrite,2004,2000,2007.5,2000,Eucrite
Acapulcoite,2005,2000,2007.5,2000,Acapulcoite
Eucrite-pmict,2004,2000,2007.5,2000,Eucrite
Ureilite,2005,2000,2007.5,2000,Ureilite
Howardite,2005,2000,2007.5,2000,Howardite
Diogenite,2005,2000,2007.5,2000,Diogenite
Martian (shergottite),2007,2000,2007.5,2000,Martian
Diogenite,2005,2000,2007.5,2000,Diogenite
Ureilite,2003,2000,2007.5,2000,Ureilite
Howardite,2003,2000,2007.5,2000,Howardite
Diogenite,2005,2000,2007.5,2000,Diogenite
Aubrite,2005,2000,2007.5,2000,Aubrite
Diogenite,2004,2000,2007.5,2000,Diogenite
Howardite,2004,2000,2007.5,2000,Howardite
Acapulcoite,2005,2000,2007.5,2000,Acapulcoite
Acapulcoite,2005,2000,2007.5,2000,Acapulcoite
Ureilite,2000,2000,2007.5,2000,Ureilite
Howardite,2002,2000,2007.5,2000,Howardite
Howardite,2004,2000,2007.5,2000,Howardite
Ureilite,2004,2000,2007.5,2000,Ureilite
Eucrite-pmict,2003,2000,2007.5,2000,Eucrite
Eucrite,2005,2000,2007.5,2000,Eucrite
Eucrite,2005,2000,2007.5,2000,Eucrite
Eucrite,2005,2000,2007.5,2000,Eucrite
Eucrite,2005,2000,2007.5,2000,Eucrite
Diogenite,2005,2000,2007.5,2000,Diogenite
Eucrite,2003,2000,2007.5,2000,Eucrite
Eucrite,2005,2000,2007.5,2000,Eucrite
Eucrite,2005,2000,2007.5,2000,Eucrite
Eucrite,2005,2000,2007.5,2000,Eucrite
Ureilite,2005,2000,2007.5,2000,Ureilite
Ureilite,2005,2000,2007.5,2000,Ureilite
Diogenite,2005,2000,2007.5,2000,Diogenite
Martian (shergottite),2005,2000,2007.5,2000,Martian
Martian (shergottite),2005,2000,2007.5,2000,Martian
Lunar (gabbro),2005,2000,2007.5,2000,Lunar
Martian (shergottite),2006,2000,2007.5,2000,Martian
Eucrite,2006,2000,2007.5,2000,Eucrite
Martian (shergottite),2007,2000,2007.5,2000,Martian
Lunar (feldsp. breccia),2005,2000,2007.5,2000,Lunar
Lunar,2006,2000,2007.5,2000,Lunar
Diogenite,2006,2000,2007.5,2000,Diogenite
Lunar,2006,2000,2007.5,2000,Lunar
Angrite,2004,2000,2007.5,2000,Angrite
Acapulcoite,2002,2000,2007.5,2000,Acapulcoite
Eucrite-mmict,2003,2000,2007.5,2000,Eucrite
Eucrite-pmict,2002,2000,2007.5,2000,Eucrite
Eucrite-pmict,2002,2000,2007.5,2000,Eucrite
Eucrite-pmict,2002,2000,2007.5,2000,Eucrite
Ureilite,2003,2000,2007.5,2000,Ureilite
Eucrite-pmict,2003,2000,2007.5,2000,Eucrite
Eucrite-mmict,2003,2000,2007.5,2000,Eucrite
Diogenite,2003,2000,2007.5,2000,Diogenite
Ureilite,2003,2000,2007.5,2000,Ureilite
Ureilite,2003,2000,2007.5,2000,Ureilite
Howardite,2003,2000,2007.5,2000,Howardite
Eucrite,2003,2000,2007.5,2000,Eucrite
Eucrite,2002,2000,2007.5,2000,Eucrite
Ureilite,2003,2000,2007.5,2000,Ureilite
Lunar (basalt),2004,2000,2007.5,2000,Lunar
Eucrite,2004,2000,2007.5,2000,Eucrite
Eucrite,2004,2000,2007.5,2000,Eucrite
Ureilite,2004,2000,2007.5,2000,Ureilite
Eucrite,2004,2000,2007.5,2000,Eucrite
Eucrite,2004,2000,2007.5,2000,Eucrite
Diogenite,2004,2000,2007.5,2000,Diogenite
Eucrite,2005,2000,2007.5,2000,Eucrite
Eucrite,2004,2000,2007.5,2000,Eucrite
Howardite,2004,2000,2007.5,2000,Howardite
Brachinite,2005,2000,2007.5,2000,Brachinite
Eucrite,2005,2000,2007.5,2000,Eucrite
Ureilite,2004,2000,2007.5,2000,Ureilite
Angrite,2004,2000,2007.5,2000,Angrite
Eucrite,2005,2000,2007.5,2000,Eucrite
Lunar (bas. breccia),2005,2000,2007.5,2000,Lunar
Eucrite,2005,2000,2007.5,2000,Eucrite
Lunar,2001,2000,2007.5,2000,Lunar
Angrite,2004,2000,2007.5,2000,Angrite
Lunar (gabbro),2007,2000,2007.5,2000,Lunar
Martian (shergottite),2004,2000,2007.5,2000,Martian
Eucrite,2002,2000,2007.5,2000,Eucrite
Lunar,2006,2000,2007.5,2000,Lunar
Eucrite,2004,2000,2007.5,2000,Eucrite
Eucrite,2005,2000,2007.5,2000,Eucrite
Eucrite,2005,2000,2007.5,2000,Eucrite
Ureilite-pmict,2002,2000,2007.5,2000,Ureilite
Ureilite,2000,2000,2007.5,2000,Ureilite
Ureilite-pmict,2002,2000,2007.5,2000,Ureilite
Ureilite,2007,2000,2007.5,2000,Ureilite
Ureilite,2007,2000,2007.5,2000,Ureilite
Eucrite-pmict,2006,2000,2007.5,2000,Eucrite
Ureilite,2007,2000,2007.5,2000,Ureilite
Ureilite,2007,2000,2007.5,2000,Ureilite
Eucrite-pmict,2007,2000,2007.5,2000,Eucrite
Acapulcoite,2006,2000,2007.5,2000,Acapulcoite
Eucrite-pmict,2006,2000,2007.5,2000,Eucrite
Howardite,2006,2000,2007.5,2000,Howardite
Diogenite,2005,2000,2007.5,2000,Diogenite
Lunar,2005,2000,2007.5,2000,Lunar
Lodranite,2001,2000,2007.5,2000,Lodranite
Ureilite,2000,2000,2007.5,2000,Ureilite
Eucrite,2005,2000,2007.5,2000,Eucrite
Eucrite,2005,2000,2007.5,2000,Eucrite
Eucrite,2005,2000,2007.5,2000,Eucrite
Eucrite-pmict,2005,2000,2007.5,2000,Eucrite
Eucrite-pmict,2005,2000,2007.5,2000,Eucrite
Winonaite,2005,2000,2007.5,2000,Winonaite
Eucrite-pmict,2004,2000,2007.5,2000,Eucrite
Diogenite,2005,2000,2007.5,2000,Diogenite
Eucrite,2005,2000,2007.5,2000,Eucrite
Eucrite,2004,2000,2007.5,2000,Eucrite
Eucrite-pmict,2004,2000,2007.5,2000,Eucrite
Eucrite,2004,2000,2007.5,2000,Eucrite
Ureilite,2005,2000,2007.5,2000,Ureilite
Diogenite,2002,2000,2007.5,2000,Diogenite
Martian (shergottite),2006,2000,2007.5,2000,Martian
Diogenite,2005,2000,2007.5,2000,Diogenite
Eucrite,2005,2000,2007.5,2000,Eucrite
Ureilite,2005,2000,2007.5,2000,Ureilite
Eucrite,2005,2000,2007.5,2000,Eucrite
Ureilite,2005,2000,2007.5,2000,Ureilite
Ureilite,2005,2000,2007.5,2000,Ureilite
Acapulcoite,2003,2000,2007.5,2000,Acapulcoite
Ureilite,2003,2000,2007.5,2000,Ureilite
Ureilite,2003,2000,2007.5,2000,Ureilite
Diogenite,2002,2000,2007.5,2000,Diogenite
Eucrite-mmict,2004,2000,2007.5,2000,Eucrite
Eucrite-pmict,2003,2000,2007.5,2000,Eucrite
Diogenite,2003,2000,2007.5,2000,Diogenite
Diogenite,2005,2000,2007.5,2000,Diogenite
Diogenite,2005,2000,2007.5,2000,Diogenite
Eucrite,2005,2000,2007.5,2000,Eucrite
Howardite,2005,2000,2007.5,2000,Howardite
Eucrite,2005,2000,2007.5,2000,Eucrite
Diogenite,2005,2000,2007.5,2000,Diogenite
Ureilite-pmict,2004,2000,2007.5,2000,Ureilite
Winonaite,2005,2000,2007.5,2000,Winonaite
Diogenite,2006,2000,2007.5,2000,Diogenite
Ureilite,2005,2000,2007.5,2000,Ureilite
Eucrite-pmict,2005,2000,2007.5,2000,Eucrite
Diogenite,2004,2000,2007.5,2000,Diogenite
Eucrite-pmict,2006,2000,2007.5,2000,Eucrite
Eucrite-pmict,2006,2000,2007.5,2000,Eucrite
Eucrite-mmict,2005,2000,2007.5,2000,Eucrite
Acapulcoite,2005,2000,2007.5,2000,Acapulcoite
Lodranite,2006,2000,2007.5,2000,Lodranite
Martian (shergottite),2006,2000,2007.5,2000,Martian
Ureilite,2006,2000,2007.5,2000,Ureilite
Eucrite-an,2006,2000,2007.5,2000,Eucrite
Ureilite,2006,2000,2007.5,2000,Ureilite
Lunar,2006,2000,2007.5,2000,Lunar
Diogenite,2006,2000,2007.5,2000,Diogenite
Ureilite,2006,2000,2007.5,2000,Ureilite
Lodranite,2006,2000,2007.5,2000,Lodranite
Martian (shergottite),2006,2000,2007.5,2000,Martian
Ureilite,2006,2000,2007.5,2000,Ureilite
Lunar,2006,2000,2007.5,2000,Lunar
Eucrite,2006,2000,2007.5,2000,Eucrite
Lunar,2006,2000,2007.5,2000,Lunar
Eucrite,2006,2000,2007.5,2000,Eucrite
Lunar,2007,2000,2007.5,2000,Lunar
Ureilite,2006,2000,2007.5,2000,Ureilite
Ureilite,2001,2000,2007.5,2000,Ureilite
Ureilite,2001,2000,2007.5,2000,Ureilite
Ureilite,2000,2000,2007.5,2000,Ureilite
Eucrite,2001,2000,2007.5,2000,Eucrite
Martian (shergottite),2006,2000,2007.5,2000,Martian
Lodranite,2006,2000,2007.5,2000,Lodranite
Eucrite,2006,2000,2007.5,2000,Eucrite
Aubrite,2005,2000,2007.5,2000,Aubrite
Eucrite-mmict,2006,2000,2007.5,2000,Eucrite
Diogenite,2006,2000,2007.5,2000,Diogenite
Ureilite,2005,2000,2007.5,2000,Ureilite
Angrite,2005,2000,2007.5,2000,Angrite
Howardite,2006,2000,2007.5,2000,Howardite
Ureilite,2006,2000,2007.5,2000,Ureilite
Angrite,2006,2000,2007.5,2000,Angrite
Eucrite,2006,2000,2007.5,2000,Eucrite
Diogenite,2006,2000,2007.5,2000,Diogenite
Eucrite,2006,2000,2007.5,2000,Eucrite
Angrite,2006,2000,2007.5,2000,Angrite
Lodranite,2006,2000,2007.5,2000,Lodranite
Diogenite-pm,2006,2000,2007.5,2000,Diogenite
Eucrite-mmict,2006,2000,2007.5,2000,Eucrite
Diogenite,2006,2000,2007.5,2000,Diogenite
Lunar,2006,2000,2007.5,2000,Lunar
Acapulcoite/Lodranite,2003,2000,2007.5,2000,Acapulcoite
Ureilite-pmict,2007,2000,2007.5,2000,Ureilite
Eucrite-pmict,2005,2000,2007.5,2000,Eucrite
Lunar (basalt),2000,2000,2007.5,2000,Lunar
Martian (shergottite),2001,2000,2007.5,2000,Martian
Aubrite,2007,2000,2007.5,2000,Aubrite
Martian (shergottite),2000,2000,2007.5,2000,Martian
Angrite,2007,2000,2007.5,2000,Angrite
Diogenite,2007,2000,2007.5,2000,Diogenite
